name,englishName,category,calories,protein,fat,carbs,servingSizeValue,servingUnit,source,partialNutrition
Scrambled Eggs (2 large),Scrambled Eggs,Protein,180,12,14,2,2,piece,local_csv,false
Whole Wheat Toast (1 slice),Whole Wheat Toast,Carbs,80,4,1,14,1,piece,local_csv,false
Coffee (black),Coffee,Drink,5,0.3,0.1,0,1,piece,local_csv,false
Banana,Banana,Fruit,105,1.3,0.4,27,100,g,local_csv,false
Grilled Chicken Salad,Grilled Chicken Salad,Protein,350,30,20,10,100,g,local_csv,false
Apple,Apple,Fruit,95,0.5,0.3,25,100,g,local_csv,false
Salmon (4oz grilled),Salmon,Seafood,230,25,14,0,113.4,g,local_csv,false
Quinoa (1 cup cooked),Quinoa,Carbs,222,8,3.6,39,1,cup,local_csv,false
Steamed Broccoli (1 cup),Steamed Broccoli,Vegetable,55,3.7,0.6,11.2,1,cup,local_csv,false
Greek Yogurt (plain 1 cup),Greek Yogurt,Dairy,150,25,3,8,1,cup,local_csv,false
Oatmeal (1 cup cooked),Oatmeal,Carbs,160,6,3,28,1,cup,local_csv,false
Blueberries (1/2 cup),Blueberries,Fruit,42,0.5,0.2,11,1,piece,local_csv,false
Almonds (1 oz),Almonds,Snack,164,6,14,6,28.35,g,local_csv,false
Turkey Sandwich (on wheat),Turkey Sandwich,FastFood,340,22,12,34,1,piece,local_csv,false
Carrot Sticks (1 cup),Carrot Sticks,Vegetable,52,1.2,0.3,12.3,1,cup,local_csv,false
Spaghetti Bolognese,Spaghetti Bolognese,Carbs,460,20,18,55,100,g,local_csv,false
Side Salad (light dressing),Side Salad,Vegetable,70,2,4,8,1,piece,local_csv,false
Protein Shake (Whey),Protein Shake,Drink,120,24,1,3,1,piece,local_csv,false
Cereal (Frosted Flakes 1 cup),Cereal,Carbs,130,2,0,31,1,cup,local_csv,false
"Milk (2%, 1 cup)",Milk,Dairy,122,8,5,12,2,piece,local_csv,false
Lentil Soup (1 can),Lentil Soup,Carbs,230,15,3,35,1,piece,local_csv,false
White Rice (1 cup cooked),White Rice,Carbs,204,4.2,0.4,44.5,1,cup,local_csv,false
Tofu Stir-fry,Tofu Stir-fry,Other,400,18,22,30,100,g,local_csv,false
Orange,Orange,Fruit,62,1.2,0.2,15.4,100,g,local_csv,false
Bagel (plain),Bagel,Carbs,270,11,1.5,55,1,piece,local_csv,false
Cream Cheese (2 tbsp),Cream Cheese,Dairy,100,2,10,2,30,ml,local_csv,false
Tuna Salad (1/2 cup),Tuna Salad,Seafood,190,19,12,2,1,piece,local_csv,false
Crackers (5 whole wheat),Crackers,Carbs,90,2,3,14,5,piece,local_csv,false
Beef Steak (6oz sirloin),Beef Steak,Protein,270,42,10,0,170.1,g,local_csv,false
Baked Potato (medium),Baked Potato,Vegetable,160,4.3,0.2,36,1,piece,local_csv,false
Ice Cream (1/2 cup vanilla),Ice Cream,Dessert,145,2.5,7.5,17,1,piece,local_csv,false
Pizza (1 slice pepperoni),Pizza,FastFood,290,12,12,34,1,piece,local_csv,false
Avocado Toast (1 slice),Avocado Toast,Other,260,7,15,28,1,piece,local_csv,false
Hard-Boiled Egg (1 large),Hard-Boiled Egg,Protein,78,6.3,5.3,0.6,1,piece,local_csv,false
Chicken Wrap (with tortilla),Chicken Wrap,FastFood,410,25,17,38,1,piece,local_csv,false
Grapes (1 cup),Grapes,Fruit,104,1.1,0.2,27,1,cup,local_csv,false
Cottage Cheese (1/2 cup),Cottage Cheese,Dairy,90,12,3,5,1,piece,local_csv,false
Burger (cheeseburger),Burger,FastFood,550,30,30,40,1,piece,local_csv,false
French Fries (medium),French Fries,Vegetable,340,4,17,44,1,piece,local_csv,false
Protein Bar,Protein Bar,Drink,210,20,7,22,100,g,local_csv,false
Black Beans (1/2 cup),Black Beans,Carbs,114,7.6,0.5,20.4,1,piece,local_csv,false
Salsa (1/4 cup),Salsa,Vegetable,20,0.8,0.1,4.5,1,piece,local_csv,false
Chicken Noodle Soup (1 can),Chicken Noodle Soup,FastFood,150,7,5,18,1,piece,local_csv,false
Peanut Butter (2 tbsp),Peanut Butter,Snack,190,7,16,8,30,ml,local_csv,false
Celery Sticks (1 cup),Celery Sticks,Vegetable,14,0.6,0.2,3,1,cup,local_csv,false
Cod (4oz baked),Cod,Seafood,95,20,0.8,0,113.4,g,local_csv,false
Green Beans (1 cup),Green Beans,Vegetable,31,1.8,0.2,7,1,cup,local_csv,false
Chocolate Chip Cookie (1 large),Chocolate Chip Cookie,Dessert,220,2.5,11,30,1,piece,local_csv,false
"Tea (Green, 1 cup)",Tea,Drink,2,0.5,0,0,1,cup,local_csv,false
Shrimp (3oz steamed),Shrimp,Seafood,84,20,0.2,0.2,85.05,g,local_csv,false
Pancakes (2 medium),Pancakes,Carbs,180,5,5,30,2,piece,local_csv,false
Maple Syrup (2 tbsp),Maple Syrup,Other,104,0,0,27,30,ml,local_csv,false
Sausage Link (1 cooked),Sausage Link,Protein,85,5,7,1,1,piece,local_csv,false
Smoothie (Fruit & Yogurt),Smoothie,Drink,280,12,3,55,1,piece,local_csv,false
Tofu (4oz firm),Tofu,Protein,90,10,5,3,113.4,g,local_csv,false
Brown Rice (1 cup cooked),Brown Rice,Carbs,215,5,1.8,45,1,cup,local_csv,false
Bell Pepper (1 medium red),Bell Pepper,Vegetable,31,1.2,0.3,6,1,piece,local_csv,false
Hummus (2 tbsp),Hummus,Carbs,70,2,5,4,30,ml,local_csv,false
Pita Bread (1 whole wheat),Pita Bread,Carbs,170,6,1.5,35,1,piece,local_csv,false
Pork Chop (4oz grilled),Pork Chop,Protein,220,30,10,0,113.4,g,local_csv,false
Mashed Potatoes (1 cup),Mashed Potatoes,Vegetable,230,4,8,35,1,cup,local_csv,false
Corn (1 cup),Corn,Vegetable,132,4.7,1.8,30,1,cup,local_csv,false
Soda (1 can Coke),Soda,Drink,140,0,0,39,1,piece,local_csv,false
Pretzels (1 oz),Pretzels,Carbs,110,3,1,23,28.35,g,local_csv,false
Cheddar Cheese (1 oz),Cheddar Cheese,Dairy,115,7,9.5,1,28.35,g,local_csv,false
Caesar Salad (with chicken),Caesar Salad,Protein,470,30,30,15,1,piece,local_csv,false
Orange Juice (1 cup),Orange Juice,Drink,112,1.7,0.5,25.8,1,cup,local_csv,false
Bacon (2 slices cooked),Bacon,Protein,86,6,6.8,0.2,2,piece,local_csv,false
Waffles (2 homemade),Waffles,Carbs,220,6,9,28,2,piece,local_csv,false
Pear,Pear,Fruit,101,0.6,0.2,27,100,g,local_csv,false
Chicken Breast (4oz roasted),Chicken Breast,Protein,185,35,4,0,113.4,g,local_csv,false
Mixed Nuts (1/4 cup),Mixed Nuts,Snack,200,6,18,8,1,piece,local_csv,false
Tilapia (4oz baked),Tilapia,Seafood,110,22,2.5,0,113.4,g,local_csv,false
Asparagus (1 cup steamed),Asparagus,Vegetable,40,4.3,0.4,7.4,1,cup,local_csv,false
Sweet Potato (1 medium baked),Sweet Potato,Vegetable,103,2.3,0.2,23.6,1,piece,local_csv,false
Popcorn (3 cups air-popped),Popcorn,Carbs,93,3,1.1,18.6,3,cup,local_csv,false
Raisins (1/4 cup),Raisins,Fruit,130,1.3,0.2,34,1,piece,local_csv,false
Macaroni & Cheese (1 cup),Macaroni & Cheese,Carbs,350,10,17,40,1,cup,local_csv,false
Tomato Soup (1 can),Tomato Soup,Vegetable,170,4,6,25,1,piece,local_csv,false
Grilled Cheese Sandwich,Grilled Cheese Sandwich,FastFood,390,15,22,32,100,g,local_csv,false
Beef Tacos (2 hard shell),Beef Tacos,FastFood,380,18,22,28,2,piece,local_csv,false
